OPEN,SMA 5,SMA 10,EMA 5,EMA 10,MACD,WILLR,SO,AD,RSI,ROC1,ROC2,ROC3,ROC5,ROC10,MFI,HIGH,LOW,VOLUME,CLOSE
0.00054824,0.000484208,0.000463406,0.000479222,0.000452506,0.613690183,0.796298667,0.884154277,0.175849402,0.736593918,0.391041514,0.385146284,0.397039403,0.57411287,0.574073528,0.315621586,0.000538976,0.000523179,0.107121151,0.000540078
0.000502556,0.000522681,0.000497715,0.000501962,0.000476951,0.613718834,0.916672,0.896606935,0.315622009,0.752885931,0.4870811,0.382525706,0.423660223,0.639285619,0.586285136,0.31541133,0.000529842,0.000513837,0.167272697,0.000655477
0.000525398,0.00055834,0.000539074,0.000556153,0.000518498,0.613819521,0.948269527,0.891854383,0.319216311,0.773383487,0.525967695,0.495565044,0.449417566,0.629111353,0.612417206,0.315367835,0.000639468,0.000579236,0.10248602,0.000766265
0.000676166,0.000614644,0.000577613,0.000629752,0.000573176,0.613991334,0.927540466,0.936416053,0.301254736,0.784608778,0.520449711,0.523897318,0.547432479,0.679700962,0.595776669,0.315364911,0.000767358,0.000728717,0.151411465,0.000858585
0.000740129,0.000676578,0.000619912,0.000710045,0.00063515,0.614191764,0.973685806,0.955774446,0.329565787,0.841395582,0.505950867,0.506933685,0.561889776,0.691089466,0.607795483,0.315346859,0.000831306,0.000775426,0.101821455,0.000729334
0.000840639,0.000727251,0.000651871,0.000719862,0.000661725,0.614194757,0.78378168,0.899924457,0.191358219,0.738060384,0.358144554,0.370067968,0.434189602,0.666139627,0.56985181,0.31536452,0.000822172,0.000756743,0.116244198,0.000738565
0.000708145,0.000767602,0.00069135,0.000729528,0.000685193,0.614170619,0.777773985,0.849072942,0.237237605,0.728794653,0.449876509,0.325187443,0.383473076,0.639182802,0.600815852,0.315394911,0.000776493,0.000747401,0.086927628,0.000664708
0.000730987,0.000769478,0.000710149,0.000710994,0.000690605,0.614044747,0.622947414,0.729983686,0.223822289,0.636420429,0.393361306,0.354311398,0.304123155,0.545600349,0.518937687,0.315452205,0.00071255,0.00067266,0.116605923,0.000627782
0.000676166,0.000741326,0.000724249,0.000686148,0.000688139,0.613895674,0.557377978,0.653110868,0.242283862,0.591561681,0.41802359,0.32849163,0.34686297,0.476461811,0.501343095,0.315829077,0.000694276,0.000625945,0.065577425,0.000673945
0.00062134,0.000703791,0.000736469,0.000685196,0.00069474,0.613801584,0.639349216,0.606110303,0.268970394,0.627107435,0.475830496,0.395930752,0.365181096,0.456745412,0.493638154,0.315498561,0.000666872,0.000677331,0.068643677,0.000710871
0.000644182,0.000700038,0.000759968,0.00069705,0.000707035,0.613760381,0.704918652,0.63394271,0.296205931,0.683441209,0.469089268,0.438546191,0.420207104,0.532466726,0.53641125,0.315419313,0.000685141,0.000691344,0.064155761,0.000655477
0.000685303,0.000683147,0.000771718,0.000686218,0.000706752,0.613594725,0.489356226,0.610846693,0.30041331,0.595012124,0.405665241,0.380128975,0.411064482,0.502088515,0.492070334,0.315477049,0.000657737,0.000607261,0.125956101,0.000637014
0.000616771,0.000677517,0.000769838,0.000672752,0.000703074,0.61341051,0.409090314,0.532664886,0.222123067,0.578656762,0.430775561,0.348935354,0.378546287,0.527909622,0.442357899,0.315468171,0.000676007,0.000663318,0.080281977,0.000646245
0.000603066,0.00068127,0.000757618,0.000666896,0.000701788,0.613250347,0.431816099,0.439936002,0.293082206,0.551180768,0.450018848,0.385369594,0.364966082,0.550090768,0.406705878,0.315701544,0.000612059,0.000635292,0.043356558,0.000673945
